QUEST_LV_0400_20180327_000001	유그리나스	
QUEST_LV_0400_20180327_000002	어..? 경고문 보고 오신 건가요..?{nl}아니, 이야긴 좀 있다 하겠습니다.	유그리나스
QUEST_LV_0400_20180327_000003	{nl}일단 이 약부터 드세요, 얼른.{nl}여긴 위험한 노브리어 역병이 퍼져 있는 곳입니다!	유그리나스
QUEST_LV_0400_20180327_000004	{nl}플레이그 닥터 마스터께서도 아직 원인을 파악하지 못한 끔찍한 역병이에요.{nl}신수의 날 이후 노브리어 숲에 피난왔던 사람들에게서 발견되었죠.	유그리나스
QUEST_LV_0400_20180327_000005	{nl}노브리어 역병에 걸리게 되면 끔찍한 고통과 함께 서서히 죽어가게 돼요.{nl}늦기 전에 어서 드세요, 어서!	유그리나스
QUEST_LV_0400_20180327_000006	부디 늦지 않았길 바랍니다.{nl}그 약도 아직 완성된 건 아니거든요.	유그리나스
QUEST_LV_0400_20180327_000007	그 약도 아직은 치료제라기보다는 예방약에 가까운 상황이죠.{nl}노브리어의 역병에 걸린 상태에선 아무 소용이 없으니 어서 약을 드세요.	유그리나스
QUEST_LV_0400_20180327_000008	열이 나는 것 같다거나 어지럽다거나.. 조금이라도 이상하면 말해주세요.	유그리나스
QUEST_LV_0400_20180327_000009	괜찮아 보이니 다행이네요.{nl}저는 유그리나스라고 합니다.{nl}이 곳에서 노브리어 역병에 대해 조사하고 있는 플레이그 닥터입니다.	유그리나스
QUEST_LV_0400_20180327_000010	{nl}노브리어 역병은 아까 말씀드린대로 피난민들 사이에서 발견된 끔찍한 병입니다.{nl}플레이그 닥터 마스터께서 직접 나섰지만 더 이상의 악화를 막는 것이 한계였죠.	유그리나스
QUEST_LV_0400_20180327_000011	{nl}결국 더 이상의 진전이 없자 역병이 시작된 이 곳의 조사를 위해 저를 보내셨습니다.{nl}하지만 저와 함께 온 시카스가 조사하느라 약 먹을 시기를 놓쳐서 역병에 걸렸어요.	유그리나스
QUEST_LV_0400_20180327_000012	{nl}환자를 데리고 돌아가기는 어려워서 지원을 요청했으니 얼마 후면 사람이 올 겁니다.{nl}다만, 아무 소득없이 돌아가야 한다는 게 답답하네요.	유그리나스
QUEST_LV_0400_20180327_000013	{nl}지금도 끔찍한 고통에 시달리는 환자들을 생각하면 정말..	유그리나스
QUEST_LV_0400_20180327_000014	그래 주시겠어요?{nl}처음 뵌 분에게 이런 부탁을 하게 되어서 염치없지만..{nl}고통받고 있는 환자들을 생각해서 부탁드리겠습니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000015	에메트 숲 입구 쪽에 가면 공기 중에 떠도는 성분들을 흡수하는 시험액을 담아 둔 통이 있습니다.{nl}역병에 관한 성분이 있다면 시험액에 흡수되었을 겁니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000016	그러니 그 통에서 시험액을 좀 담아와 주시겠어요?{nl}여러 개 설치해두었으니 골고루 담아와주시면 됩니다.	유그리나스
QUEST_LV_0400_20180327_000017	시험액에 역병을 분석할 만한 성분이 있어야 할텐데..	유그리나스
QUEST_LV_0400_20180327_000018	가져오셨군요.{nl}어디 한 번 살펴보죠.{nl}	유그리나스
QUEST_LV_0400_20180327_000019	음.. 별다른 점은 보이지 않네요.{nl}공기중에는 역병에 관한 성분이 없나 봅니다..	유그리나스
QUEST_LV_0400_20180327_000020	시간이 오래 걸려서 포기하고 있던 방법이지만 역병 감지석을 설치해봐야겠네요.{nl}역병의 기운을 감지하기 위해 플레이그 닥터 마스터께서 만드신 장치입니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000021	원래는 환자를 찾아내는 용도지만.. 역병의 원인을 찾는데도 효과가 있을 거예요.{nl}역병 감지석을 드릴 테니 노브리어 사거리에 설치해주세요.	유그리나스
QUEST_LV_0400_20180327_000022	노브리어 사거리에 넓게 세 곳 정도 설치해주시면 됩니다.{nl}그리고 시간이 지나면 뭔가 반응을 볼 수 있을 거예요.	유그리나스
QUEST_LV_0400_20180327_000023	이게 가장 확실한 방법이지만 시간이 얼마나 걸릴지 알 수 없어요.{nl}어쩌면 며칠 후에나 반응이 있을지도 모르죠.	유그리나스
QUEST_LV_0400_20180327_000024	잘 설치하고 오셨나요?{nl}이제 반응이 있기를 기다려야겠군요.	유그리나스
QUEST_LV_0400_20180327_000025	역병 감지석에 반응이 있을 때까지 다른 조사를 해보는 게 좋겠어요.{nl}언제 반응이 있을지 알 수 없으니까요.{nl}	유그리나스
QUEST_LV_0400_20180327_000026	노브리어 숲에 있는 식물들에서 표본을 채집해보도록 하죠.{nl}하부 운송지쪽에 둔 짐 중에 식물 표본채집 도구가 있을 거예요.{nl}	유그리나스
QUEST_LV_0400_20180327_000027	시카스가 역병에 걸리는 통에 정신이 없어서 제대로 정리하지 못했거든요.{nl}식물 표본채집 도구를 찾아서 표본을 채집해주세요.	유그리나스
QUEST_LV_0400_20180327_000028	식물 표본채집 도구를 찾고 나면 노브리어 폭포에 가서 식물 표본을 모아주세요.{nl}풀이나 나무뿌리 같은 것들을 모아주시면 됩니다.	유그리나스
QUEST_LV_0400_20180327_000029	식물 표본에서 아무것도 찾지 못하면 몬스터들도 조사해봐야겠어요.	유그리나스
QUEST_LV_0400_20180327_000030	식물 표본은 잘 가져오셨나요?{nl}	유그리나스
QUEST_LV_0400_20180327_000031	어디 보자..{nl}여기서도 특이한 건 찾을 수 없군요.	유그리나스
QUEST_LV_0400_20180327_000032	아무래도 몬스터의 표본도 살펴봐야겠어요.{nl}조금만 더 도와주세요.{nl}	유그리나스
QUEST_LV_0400_20180327_000033	몬스터의 표본은 특별한 약품을 이용해서 채집해야해요.{nl}원래는 시카스가 가지고 있었는데 지금 이 지경이 되는 바람에 조사하던 곳에 두고 왔네요.{nl}	유그리나스
QUEST_LV_0400_20180327_000034	거목 징검다리에 가면 시카스가 사용하던 특수 용액과 표본 보존병이 있을 겁니다.{nl}워낙 정신이 없었던 터라 어디에 뒀는지 정확하게는 기억이 나지 않네요.	유그리나스
QUEST_LV_0400_20180327_000035	특수 용액과 표본 보존병을 찾으시면 상부 운송지로 가세요.{nl}그곳에 있는 몬스터에게 특수 용액을 뿌리고 처치하시면 됩니다.{nl}	유그리나스
QUEST_LV_0400_20180327_000036	몬스터가 죽으면 세포가 굳어버려서 정확한 정보를 얻을 수가 없거든요.{nl}그래서 특수 용액으로 세포가 굳는 것을 방지해야 하죠.	유그리나스
