QUEST_LV_0200_20180327_000001	필리파스 직속 부대원	
QUEST_LV_0200_20180327_000002	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000003	내일 쓰러질 몸이라면 오늘 목숨을 바쳐도 상관없습니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000004	지휘관 바세닌	
QUEST_LV_0200_20180327_000005	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.	지휘관 바세닌
QUEST_LV_0200_20180327_000006	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.	지휘관 바세닌
QUEST_LV_0200_20180327_000007	선임장교 필리파스	
QUEST_LV_0200_20180327_000008	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.	선임장교 필리파스
QUEST_LV_0200_20180327_000009	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000010	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000011	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.	필리파스 직속 부대원
QUEST_LV_0200_20180327_000012	장교 필릭스	
QUEST_LV_0200_20180327_000013	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 웬만하면 포기하시오.	장교 필릭스
QUEST_LV_0200_20180327_000014	약한 부엉이 조각상	
QUEST_LV_0200_20180327_000015	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..	약한 부엉이 조각상
QUEST_LV_0200_20180327_000016	두려운 부엉이 조각상	
QUEST_LV_0200_20180327_000017	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..	두려운 부엉이 조각상
QUEST_LV_0200_20180327_000018	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..	두려운 부엉이 조각상
QUEST_LV_0200_20180327_000019	성실한 대장 부엉이	
QUEST_LV_0200_20180327_000020	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.	성실한 대장 부엉이
